epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,3.911583372751872,0.0175,0.007490297330611355,3.909781732559204,0.025,0.0031278195488721803
2,3.8492780558268227,0.0325,0.013532197790974072,3.836689033508301,0.04,0.004489825963510174
3,3.7563450304667154,0.03833333333333333,0.013686885319039048,3.6687079238891602,0.0475,0.011089672397487815
4,3.6598207982381186,0.04833333333333333,0.02507601391545087,3.6058202171325684,0.05,0.009518477388263499
5,3.6215697224934895,0.051666666666666666,0.025960262578776955,3.5634175682067872,0.0575,0.010186428051843935
6,3.5844204902648924,0.04833333333333333,0.02777561380872045,3.567057113647461,0.06,0.01388767904596862
7,3.5687565072377523,0.0475,0.029867466549948776,3.5749692344665527,0.06,0.016184581542739225
8,3.5333374722798667,0.06666666666666667,0.040463681442154745,3.5085170459747315,0.065,0.02089272935973252
9,3.50988995552063,0.07333333333333333,0.05278112688195523,3.496653842926025,0.0775,0.033321314553097524
10,3.5016804854075114,0.06416666666666666,0.05218731687678082,3.484973096847534,0.09,0.03557967511223859
11,3.4779080645243328,0.065,0.035906964829944835,3.514912052154541,0.095,0.052275907099436504
12,3.4087973817189536,0.0625,0.04554103650846171,3.4525044059753416,0.09,0.054799518496987866
13,3.3604362932840983,0.085,0.0721425144491759,3.411818752288818,0.115,0.06892512725787528
14,3.3276434389750165,0.10416666666666667,0.07748631310388271,3.3219432544708254,0.1075,0.06465561389117229
15,3.2882186953226724,0.09833333333333333,0.08002949988580006,3.3422411823272706,0.11,0.06893004180118308
16,3.201523542404175,0.10833333333333334,0.09214331939820893,3.2617237091064455,0.14,0.09271359296845501
17,3.2041611607869465,0.1075,0.08742441107425032,3.2752506065368654,0.1075,0.08229102864039514
18,3.1530657386779786,0.12916666666666668,0.10920491344294085,3.192204246520996,0.1375,0.09848571352006885
19,3.0946131483713786,0.14416666666666667,0.12553109178522154,3.176187391281128,0.15,0.10103179010531951
20,3.0270458952585857,0.1575,0.13528514535083513,3.153343982696533,0.1525,0.11208459447338083
21,2.99164280573527,0.15,0.13221680804418862,3.102609176635742,0.1575,0.12889150909966252
22,2.9676692803700764,0.155,0.13642223246106122,3.082294807434082,0.15,0.11578201612628858
23,2.9405859820048015,0.16333333333333333,0.14759380410425907,3.0564957427978516,0.1825,0.14435360850127305
24,2.897517007191976,0.175,0.15131787600800736,3.017498264312744,0.19,0.14406297333767618
25,2.932006581624349,0.17916666666666667,0.15928164346331894,2.9817594051361085,0.1825,0.1390619440841263
26,2.83286670366923,0.18583333333333332,0.16348740505488782,2.982749900817871,0.1775,0.14967287654741512
27,2.7628367233276365,0.20416666666666666,0.18586040666425263,2.9603634548187254,0.205,0.16972276238529602
28,2.6803202215830484,0.2125,0.19098559717256464,2.9546374893188476,0.2075,0.1641460318261517
29,2.712865400314331,0.20166666666666666,0.1873600106931559,2.953821144104004,0.1975,0.15809612448438182
30,2.6547427304585773,0.2275,0.21040774748994107,3.0012020111083983,0.18,0.15178130403976922
31,2.6492079067230225,0.21,0.195409784891703,2.905459442138672,0.195,0.16640416997474822
32,2.6382933966318767,0.22166666666666668,0.20728723967622145,2.8676274490356444,0.235,0.20383693261140912
33,2.578229751586914,0.24083333333333334,0.2263576761891906,3.0214383220672607,0.245,0.2155280587108559
34,2.52490665435791,0.27,0.25509874605404503,2.8671537399291993,0.2325,0.202422984766638
35,2.4549965858459473,0.27166666666666667,0.2588221371828302,3.0381729888916014,0.2275,0.20307158784396637
36,2.432162640889486,0.2791666666666667,0.26103162832951815,2.85538010597229,0.2225,0.1948645598121436
37,2.4569829018910725,0.25833333333333336,0.24483321224916427,2.8939834213256836,0.225,0.19955209879242866
38,2.3555241123835247,0.2875,0.2707253430066133,2.817802276611328,0.255,0.2337087381532102
39,2.2981926663716634,0.3,0.2875293100252221,2.7785026168823244,0.2275,0.20236381076783555
40,2.295114336013794,0.31166666666666665,0.2932301083738883,2.7671224021911622,0.2525,0.2203320930998177
41,2.276396973927816,0.3283333333333333,0.31649107103531515,2.835923080444336,0.2425,0.22799622989744137
42,2.1687767410278322,0.35,0.3373181602540392,2.8731331825256348,0.2475,0.2249640113703918
43,2.1299922466278076,0.3516666666666667,0.34028456807516294,2.9344552898406984,0.26,0.24626076005327588
44,2.104581340154012,0.3441666666666667,0.33380585959772796,2.841773624420166,0.2425,0.22506484862407855
45,2.1434192276000976,0.36333333333333334,0.3470700184395672,2.7986309146881103,0.24,0.21903356147100933
46,2.069743849436442,0.38083333333333336,0.36526767197741433,2.8805980491638183,0.235,0.21023588823743627
